,Galaxy,chi2_SNUT,chi2_Ein,chi2_NFW,chi2_Burk,chi2_SNUT+Bulge,DeltaAIC_Ein,DeltaAIC_NFW,DeltaAIC_Burk,DeltaAIC_SNUTbulge,f_bulge
22,DDO154,52681.5,12437752.2,260.4,25572.7,,12385070.6,-52421.2,-27108.8,,
20,NGC2403,44263.3,2023243819153954.0,18022.2,195177.3,,2023243819109690.8,-26241.1,150914.0,,
18,NGC2841,4057.5,1.9690966859401448e+35,214.8,4194.3,3776.8,1.9690966859401448e+35,-3842.7,136.8,-278.7,1.17
17,NGC2903,27870.5,617412382099.5,30442.2,82561.9,27870.5,617412354229.0,2571.7,54691.4,2.0,1.0
23,NGC3198,5153.1,13389100342.4,4429.1,15760.5,,13389095189.3,-723.9,10607.5,,
24,NGC3741,2099.2,8233846.2,39.4,662.8,,8231747.0,-2059.8,-1436.4,,
15,NGC5033,1429.5,334867465.8,2945.3,20538.0,1021.5,334866036.3,1515.8,19108.5,-406.0,0.7
21,NGC6946,29777.2,7741891538453.7,17407.8,34410.3,,7741891508676.4,-12369.4,4633.1,,
19,UGC00128,41410.1,380894222396174.7,2266.5,63113.8,,380894222354764.6,-39143.5,21703.7,,
12,UGC01281,331.1,321077.6,153.6,282.2,,320746.6,-177.5,-48.8,,
26,UGC02953,111467.9,301404243288292.1,26981.3,82090.6,,301404243176824.2,-84486.6,-29377.2,,
14,UGC05253,33111.7,2701408.4,37038.6,90207.6,,2668296.6,3926.9,57095.9,,
3,UGC05721,1178.0,1597537041792663.8,48.9,677.6,,1597537041791485.8,-1129.0,-500.3,,
6,UGC05986,1300.9,4296305.2,196.4,2795.5,,4295004.3,-1104.5,1494.6,,
2,UGC06399,193.7,409220887.8,37.0,341.3,,409220694.1,-156.7,147.6,,
7,UGC06787,14838.6,105020651.8,8913.5,17322.7,,105005813.2,-5925.1,2484.1,,
16,UGC07232,35.3,780834068.4,20.6,56.6,,780834033.1,-14.7,21.3,,
8,UGC07323,6.3,6450970.4,218.3,216.5,,6450964.1,212.0,210.2,,
5,UGC07524,971.1,595734327.5,256.7,1535.2,,595733356.4,-714.4,564.1,,
11,UGC08837,23.3,14661.9,180.1,173.2,,14638.6,156.8,149.8,,
0,UGC09037,2491.7,2304823.1,2877.2,5792.6,,2302331.4,385.6,3300.9,,
1,UGC09133,26783.7,2.47727717018718e+84,7805.0,26946.7,,2.47727717018718e+84,-18978.7,163.0,,
25,UGC10310,68.0,54706394822580.0,16.1,175.1,,54706394822512.1,-51.9,107.1,,
13,UGC11455,7925.9,116965.4,5416.6,20865.5,,109039.5,-2509.3,12939.6,,
9,UGC11914,13223.5,17298642.4,7825.2,8800.3,,17285419.0,-5398.3,-4423.2,,
10,UGC12632,728.2,1807768366288.3,33.0,818.2,,1807768365560.2,-695.1,90.0,,
4,UGC12732,1114.9,46983892163.2,7.8,15.6,,46983891048.3,-1107.1,-1099.3,,
