,Galaxy,chi2_SNUT,chi2_Einasto,Delta_AIC
22,DDO154,52681.55,12437752.15,12385070.61
20,NGC2403,44263.34,2023243819153954.0,2023243819109690.8
18,NGC2841,4057.52,1.9690966859401448e+35,1.9690966859401448e+35
17,NGC2903,27870.54,617412382099.51,617412354228.97
23,NGC3198,5153.06,13389100342.41,13389095189.35
24,NGC3741,2099.19,8233846.22,8231747.04
15,NGC5033,1429.49,334867465.75,334866036.26
21,NGC6946,29777.24,7741891538453.68,7741891508676.44
19,UGC00128,41410.09,380894222396174.7,380894222354764.6
12,UGC01281,331.08,321077.64,320746.56
26,UGC02953,111467.88,301404243288292.1,301404243176824.25
14,UGC05253,33111.72,2701408.37,2668296.64
3,UGC05721,1177.95,1597537041792663.8,1597537041791485.8
6,UGC05986,1300.9,4296305.18,4295004.28
2,UGC06399,193.73,409220887.85,409220694.11
7,UGC06787,14838.6,105020651.79,105005813.2
16,UGC07232,35.28,780834068.38,780834033.1
8,UGC07323,6.28,6450970.38,6450964.1
5,UGC07524,971.1,595734327.47,595733356.38
11,UGC08837,23.34,14661.92,14638.58
0,UGC09037,2491.68,2304823.09,2302331.41
1,UGC09133,26783.68,2.47727717018718e+84,2.47727717018718e+84
25,UGC10310,67.97,54706394822580.03,54706394822512.06
13,UGC11455,7925.9,116965.38,109039.47
9,UGC11914,13223.45,17298642.41,17285418.96
10,UGC12632,728.15,1807768366288.3,1807768365560.15
4,UGC12732,1114.92,46983892163.22,46983891048.3
